"","Label","Area","Circ.","Feret","FeretX","FeretY","FeretAngle","MinFeret","AR","Round","Solidity"
"1","Fragments",0.000133,0.527,0.019,3421,1280,59.826,0.01,1.91,0.524,0.877
"2","Particles",0.001,0.818,0.055,3944,826,168.921,0.034,1.587,0.63,0.979
"3","Particles",0.0001747,0.713,0.021,3411,1143,65.298,0.012,1.87,0.535,0.936
"4","Particles",0.0007706,0.83,0.04,2007,2672,131.236,0.027,1.482,0.675,0.977
"11","Particles",0.0005117,0.908,0.027,3128,2401,112.989,0.025,1.062,0.941,0.977
"12","Particles",0.0008851,0.895,0.035,3170,1534,95.587,0.033,1.019,0.981,0.98
"13","Particles",8.578e-05,0.808,0.013,3801,1709,52.125,0.009,1.445,0.692,0.932
"14","Particles",0.000404,0.899,0.024,2976,1683,81.87,0.022,1.09,0.917,0.974
"15","Particles",0.004,0.656,0.079,2125,2058,95.981,0.064,1.273,0.786,0.973
"16","Particles",0.0008408,0.84,0.035,2656,2299,110.194,0.032,1.059,0.944,0.97
"17","Particles",0.0002166,0.823,0.02,1808,2150,40.486,0.014,1.451,0.689,0.957
"21","Particles",0.0005784,0.899,0.029,2454,2282,9.834,0.027,1.027,0.974,0.977
"31","Particles",0.0001696,0.887,0.017,1826,2792,31.608,0.013,1.282,0.78,0.959
"18","Particles",0.0001432,0.827,0.017,3768,1030,57.724,0.012,1.434,0.698,0.947
"22","Particles",0.0007456,0.847,0.036,2228,1941,111.801,0.027,1.352,0.74,0.974
"32","Particles",0.000141,0.872,0.016,1217,3950,167.905,0.012,1.39,0.719,0.957
"110","Fibers",0.005,0.198,0.107,2887,1664,41.148,0.081,1.302,0.768,0.814
"28","Particles",5.625e-07,0.698,0.002,2999,1432,45,0.0007955,2.654,0.377,0.667
"33","Particles",8.438e-07,0.809,0.002,3026,1440,116.565,0.00075,2.237,0.447,0.857
"41","Particles",4.219e-07,0.809,0.001,3031,1446,108.435,0.000375,3,0.333,1
"5","Particles",2.109e-06,0.898,0.002,3028,1456,30.964,0.002,1.179,0.848,0.882
"6","Particles",1.688e-06,0.851,0.002,2936,1469,30.964,0.002,1.511,0.662,0.774
"7","Particles",7.031e-07,0.873,0.001,3052,1465,108.435,0.001,1,1,0.714
"8","Particles",2.391e-06,0.911,0.002,3041,1468,141.34,0.002,1.371,0.729,0.829
"9","Particles",4.219e-07,0.643,0.001,3109,1494,123.69,0.0006708,2.702,0.37,0.667
"10","Particles",1.688e-06,0.719,0.002,3119,1508,108.435,0.001,2.045,0.489,0.8
"111","Particles",6.75e-06,0.61,0.005,2900,1520,32.471,0.002,2.405,0.416,0.768
"121","Particles",4.219e-07,1,0.001,3125,1528,135,0.00075,1.464,0.683,0.857
"131","Particles",1.547e-06,1,0.002,3115,1552,36.87,0.001,1.45,0.689,0.846
"141","Particles",7.031e-07,1,0.001,2887,1564,56.31,0.00075,1.553,0.644,0.909
"151","Particles",9.844e-07,1,0.001,2913,1610,123.69,0.001,1.069,0.936,0.875
"161","Particles",8.438e-07,1,0.001,2918,1611,146.31,0.00075,1.5,0.667,1
"171","Particles",8.438e-07,1,0.002,2906,1619,45,0.001,1.809,0.553,0.8
"181","Particles",1.125e-06,0.914,0.002,3048,1627,63.435,0.001,1.308,0.764,0.8
"19","Particles",2.25e-06,0.857,0.003,2892,1630,146.31,0.002,1.793,0.558,0.821
"20","Particles",1.828e-06,0.922,0.002,2897,1646,51.34,0.001,1.911,0.523,0.839
"211","Particles",3.656e-06,0.76,0.003,2893,1647,140.194,0.002,1.41,0.709,0.839
"221","Particles",4.219e-07,1,0.001,2902,1647,135,0.00075,1.464,0.683,0.857
"23","Particles",8.438e-07,0.916,0.002,2981,1670,45,0.001,1.593,0.628,0.857
"24","Particles",1.969e-06,0.75,0.002,2984,1675,71.565,0.002,1.753,0.57,0.757
"25","Particles",5.625e-07,0.857,0.001,2956,1681,33.69,0.00075,2,0.5,0.8
"26","Particles",4.219e-07,0.967,0.001,2968,1679,161.565,0.000375,3,0.333,1
"27","Particles",0.0004198,0.87,0.025,2442,1988,163.465,0.022,1.104,0.906,0.971
"112","Particles",0.0009297,0.881,0.037,2539,2057,13.473,0.033,1.11,0.901,0.979
"113","Fragments",0.0006636,0.463,0.036,1754,3217,141.34,0.026,1.334,0.749,0.908
"29","Particles",0.004,0.605,0.094,2813,775,109.73,0.066,1.359,0.736,0.936
"34","Particles",4.219e-07,0.809,0.001,1759,3213,108.435,0.000375,3,0.333,1
"42","Particles",1.828e-06,0.956,0.002,1798,3290,45,0.002,1.291,0.775,0.897
"51","Particles",1.828e-06,0.922,0.002,1778,3292,149.036,0.001,1.714,0.583,0.839
"114","Particles",7.439e-05,0.94,0.011,2509,1054,161.565,0.009,1.105,0.905,0.956
"115","Particles",0.0002796,0.862,0.023,2138,1427,5.711,0.016,1.413,0.708,0.97
"116","Particles",0.0005736,0.895,0.032,1987,2129,144.62,0.024,1.338,0.748,0.981
"117","Particles",0.001,0.877,0.048,2959,3577,74.982,0.035,1.331,0.751,0.985
"118","Particles",0.0004537,0.902,0.027,3214,91,105.945,0.022,1.237,0.808,0.978
"119","Particles",0.000776,0.864,0.037,2144,1831,19.537,0.028,1.337,0.748,0.979
"120","Particles",0.0002655,0.857,0.021,3291,2087,17.784,0.017,1.24,0.806,0.963
"210","Particles",0.000303,0.872,0.024,2588,2214,169.216,0.016,1.482,0.675,0.974
"122","Particles",0.002,0.81,0.065,1876,2453,93.617,0.047,1.401,0.714,0.979
"123","Particles",0.002,0.854,0.056,3294,2041,167.264,0.041,1.372,0.729,0.984
"124","Fragments",0.0008599,0.454,0.042,2791,3481,123.977,0.036,1.059,0.944,0.82
