"","names","cat","area"
"1","blank3","blank",0.0079309
"2","blank3","blank",0.00167278
"3","blank3","blank",0.0001676
"4","blank3","blank",0.0102663499
"5","blank3","blank",0.0282360852
"6","blank3","blank",0.0006802
"7","blank3","blank",0.0050289419
"8","blank3","blank",0.00019533
"9","blank3","blank",0.0025396
"10","blank3","blank",0.0226761
"11","blank3","blank",0.00515652
"12","blank3","blank",0.0055911487
"13","blank3","blank",0.0008323425
"14","blank3","blank",0.0032952
"15","blank3","blank",0.0154903397
"16","blank3","blank",0.00089213
"17","blank3","blank",0.0051797
"18","blank3","blank",0.00112157
