"","names","cat","area"
"1","paper3","paper",0.0003694
"2","paper3","paper",0.001
"3","paper3","paper",0.005480328
"4","paper3","paper",0.022504741
"5","paper3","paper",0.0079113541
"6","paper3","paper",0.0081725
"7","paper3","paper",0.0106166
"8","paper3","paper",0.0020423
"9","paper3","paper",0.00206834
"10","paper3","paper",0.0071884697
"11","paper3","paper",0.0105508919
"12","paper3","paper",0.018326153
"13","paper3","paper",0.006983
"14","paper3","paper",0.0161825219
"15","paper3","paper",0.00485784
"16","paper3","paper",0.011443
"17","paper3","paper",0.0001145
"18","paper3","paper",0.0018204
"19","paper3","paper",0.0013777
