"","Label","Area","Circ.","Feret","FeretX","FeretY","FeretAngle","MinFeret","AR","Round","Solidity"
"1","Fragments",0.005,0.359,0.108,2552,1351,117.453,0.079,1.377,0.726,0.834
"2","Particles",0.002,0.748,0.061,2546,1357,152.339,0.048,1.26,0.794,0.946
"3","Particles",0.0005614,0.805,0.036,2692,1369,129.958,0.024,1.327,0.753,0.983
"4","Particles",5.625e-07,1,0.001,2691,1440,135,0.00075,1,1,1
"5","Particles",0.0004797,0.694,0.031,2677,1477,23.199,0.024,1.224,0.817,0.952
"6","Particles",0.002,0.697,0.068,2570,1583,23.866,0.047,1.438,0.695,0.944
"11","Particles",0.000334,0.913,0.023,2763,1487,151.314,0.019,1.162,0.86,0.975
"12","Particles",0.0009963,0.807,0.046,3305,1697,97.009,0.027,1.704,0.587,0.98
"13","Particles",0.0001474,0.79,0.019,2984,641,99.273,0.01,1.929,0.518,0.961
"14","Fragments",0.014,0.446,0.186,2279,3294,41.739,0.107,1.895,0.528,0.874
"21","Particles",1.266e-06,0.799,0.002,2590,2943,135,0.001,1.755,0.57,0.75
"31","Particles",4.219e-07,1,0.001,2597,2944,135,0.00075,1.464,0.683,0.857
"41","Particles",5.625e-07,1,0.001,2629,2948,146.31,0.00075,2.031,0.492,0.8
"51","Particles",4.219e-07,1,0.001,2317,3307,135,0.00075,1.464,0.683,0.857
"61","Particles",1.266e-06,1,0.002,2338,3311,116.565,0.001,1.185,0.844,0.857
"15","Particles",0.000224,0.797,0.023,3620,383,80.538,0.012,1.859,0.538,0.968
"16","Particles",0.001,0.775,0.051,3248,590,164.228,0.034,1.484,0.674,0.972
"17","Particles",0.007,0.613,0.134,3160,2060,66.233,0.07,1.879,0.532,0.967
"18","Particles",0.000153,0.924,0.015,2344,3052,129.987,0.013,1.123,0.89,0.967
"19","Particles",0.0007287,0.804,0.041,1464,1491,57.328,0.023,1.774,0.564,0.978
"22","Particles",0.003,0.732,0.076,2154,2943,137.612,0.05,1.487,0.672,0.969
"110","Particles",0.0007059,0.858,0.036,2498,1227,94.814,0.025,1.414,0.707,0.979
"111","Particles",0.0003213,0.841,0.024,2519,2138,80.838,0.017,1.363,0.734,0.969
"112","Fragments",0.0003435,0.554,0.026,3467,1938,84.123,0.019,1.382,0.724,0.934
"23","Particles",8.438e-07,1,0.002,3451,1920,135,0.001,1.809,0.553,0.8
"32","Particles",0.0004873,0.868,0.03,1818,3370,76.842,0.021,1.392,0.719,0.975
"42","Particles",0.0006744,0.879,0.032,1342,3740,41.689,0.027,1.197,0.835,0.974
"113","Particles",0.001,0.798,0.053,2291,3468,118.74,0.032,1.691,0.591,0.977
"114","Particles",0.0005392,0.901,0.029,2838,2206,142.98,0.024,1.173,0.853,0.978
"115","Particles",0.0006124,0.897,0.031,3043,1229,20.638,0.025,1.189,0.841,0.98
"116","Particles",0.002,0.834,0.052,3271,1793,79.177,0.047,1.092,0.915,0.981
"117","Particles",0.003,0.74,0.081,1844,3251,66.173,0.047,1.738,0.575,0.951
