"","names","cat","area"
"1","plastic10","plastic1",0.001689
"2","plastic10","plastic1",0.00011236
"3","plastic10","plastic1",0.0186455031
"4","plastic10","plastic1",4.781e-06
"5","plastic10","plastic1",5.906e-06
"6","plastic10","plastic1",0.0164027
"7","plastic10","plastic1",9.155e-05
"8","plastic10","plastic1",0.00156253
"9","plastic10","plastic1",0.004
"10","plastic10","plastic1",0.00216949
"11","plastic10","plastic1",0.0091932
"12","plastic10","plastic1",0.0021423094
"13","plastic10","plastic1",0.008
"14","plastic10","plastic1",0.01
"15","plastic10","plastic1",0.0003736
"16","plastic10","plastic1",0.002397559
"17","plastic10","plastic1",0.0007839931
"18","plastic10","plastic1",0.0003931
"19","plastic10","plastic1",0.00121729
"20","plastic10","plastic1",0.0003302
"21","plastic10","plastic1",0.002
"22","plastic10","plastic1",0.0020111
"23","plastic10","plastic1",0.0013259
"24","plastic10","plastic1",0.0002416
"25","plastic10","plastic1",0.0069591875
"26","plastic10","plastic1",0.00097147
"27","plastic10","plastic1",2.039e-05
"28","plastic10","plastic1",0.0040205
"29","plastic10","plastic1",0.0023747
"30","plastic10","plastic1",0.0104771775
"31","plastic10","plastic1",5.625e-05
