"","Label","Area","Circ.","Feret","FeretX","FeretY","FeretAngle","MinFeret","AR","Round","Solidity"
"1","Particles",9.436e-05,0.864,0.013,4732,2477,22.989,0.009,1.481,0.675,0.952
"11","Particles",0.001,0.866,0.048,3036,2013,169.299,0.034,1.405,0.712,0.984
"12","Particles",2.588e-05,0.936,0.006,3216,2028,162.646,0.006,1.028,0.972,0.922
"13","Particles",0.0003143,0.816,0.026,4800,2373,120.964,0.016,1.704,0.587,0.968
"14","Particles",0.0002708,0.891,0.02,3784,2177,54.834,0.018,1.092,0.916,0.97
"15","Particles",0.0003873,0.908,0.023,3745,2059,77.074,0.022,1.073,0.932,0.975
"16","Particles",0.001,0.771,0.045,3474,1985,38.884,0.034,1.282,0.78,0.966
"2","Particles",0.002,0.797,0.05,3179,1961,9.107,0.042,1.177,0.849,0.973
"17","Particles",0.000143,0.893,0.016,3499,2104,66.448,0.012,1.357,0.737,0.964
"18","Particles",0.0004039,0.89,0.026,1979,2641,148.339,0.02,1.33,0.752,0.974
"19","Particles",0.0001517,0.845,0.017,3358,2525,24.341,0.012,1.524,0.656,0.957
"110","Particles",5.667e-05,0.888,0.009,1966,1695,111.371,0.008,1.058,0.945,0.924
"111","Particles",0.0005584,0.89,0.03,2234,2122,77.55,0.024,1.182,0.846,0.975
"21","Particles",0.000493,0.79,0.029,2125,2196,48.608,0.023,1.248,0.801,0.946
"112","Fragments",0.0001706,0.496,0.026,4159,1727,167.381,0.009,3.248,0.308,0.863
"22","Particles",8.114e-05,0.663,0.014,4160,1725,147.995,0.008,1.748,0.572,0.913
"3","Particles",0.0004431,0.661,0.034,4130,1727,93.772,0.018,2.002,0.5,0.933
"4","Particles",4.219e-07,1,0.001,4195,1729,45,0.00075,1.464,0.683,0.857
"5","Particles",8.733e-05,0.829,0.013,4193,1730,160.017,0.009,1.491,0.671,0.949
"6","Particles",4.219e-07,1,0.001,4140,1730,135,0.00075,1.464,0.683,0.857
"7","Particles",0.000181,0.831,0.019,4334,2142,68.405,0.012,1.61,0.621,0.96
"113","Particles",0.0003592,0.915,0.023,2319,1869,164.827,0.021,1.087,0.92,0.976
"114","Particles",7.58e-05,0.927,0.011,3828,1830,130.815,0.009,1.152,0.868,0.952
"23","Particles",0.002,0.732,0.051,1918,2530,95.921,0.044,1.14,0.877,0.975
"115","Particles",0.0001343,0.907,0.015,2750,1900,160.641,0.012,1.203,0.831,0.957
"116","Fragments",0.0003863,0.421,0.037,2546,1918,127.104,0.018,2.563,0.39,0.818
"24","Particles",0.0002749,0.664,0.023,2564,1952,142.374,0.018,1.259,0.794,0.917
"31","Particles",1.125e-06,0.914,0.002,2564,1970,63.435,0.001,1.416,0.706,0.8
"117","Fragments",0.0002375,0.582,0.027,4041,1045,115.844,0.014,2.089,0.479,0.83
"118","Particles",0.0003196,0.894,0.022,4023,1940,8.82,0.019,1.159,0.863,0.971
